"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Study Design and Population","Key Findings on Adherence Accuracy or Outcomes","Limitations and Gaps"
"Surface Chemistry-Enhanced Wearable Biosensors: A Novel Approach for Non-Invasive Continuous Health Monitoring","https://scispace.com/paper/surface-chemistry-enhanced-wearable-biosensors-a-novel-cgmjga03gk9u","2024","Journal Article","International journal of social sciences and public administration","Zhuo Chen","10.62051/ijsspa.v5n1.21","https://scispace.compdf/surface-chemistry-enhanced-wearable-biosensors-a-novel-cgmjga03gk9u.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews surface‑chemistry‑enhanced wearables without disease‑specific focus, adherence data, accuracy validation, or long‑term outcome results, offering minimal relevance to the criteria.","With the rise of health concerns in recent years, wearable biosensors have gained widespread attention as an important technology for health monitoring. It can monitor human physiological indicators such as blood glucose and lactate. This type of monitoring does not require complex operations or frequent sampling and is non-invasive and capable of real-time monitoring. Chemically modified electrochemical biosensors have further improved the sensitivity and selectivity of monitoring and have the potential for a wider range of applications. In this paper, we will explore the application of surface chemically enhanced wearable sensors for non-invasive health monitoring and their future directions. ","","",""
"Patterns of Use and Key Predictors for the Use of Wearable Health Care Devices by US Adults: Insights from a National Survey.","https://scispace.com/paper/patterns-of-use-and-key-predictors-for-the-use-of-wearable-2psjpao7q7","2020","Journal Article","Journal of Medical Internet Research","Ranganathan Chandrasekaran
Vipanchi Katthula
Evangelos Moustakas","10.2196/22443","https://scispace.com/pdf/patterns-of-use-and-key-predictors-for-the-use-of-wearable-2psjpao7q7.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Survey reports general US adult wearable usage and predictors, without disease‑specific focus, accuracy testing, adherence metrics, or longitudinal health outcome analysis.","Background: Despite the growing popularity of wearable health care devices (from fitness trackes such as Fitbit to smartwatches such as Apple Watch and more sophisticated devices that can collect information on metrics such as blood pressure, glucose levels, and oxygen levels), we have a limited understanding about the actual use and key factors affecting the use of these devices by US adults.
Objective: The main objective of this study was to examine the use of wearable health care devices and the key predictors of wearable use by US adults.
Methods: Using a national survey of 4551 respondents, we examined the usage patterns of wearable health care devices (use of wearables, frequency of their use, and willingness to share health data from a wearable with a provider) and a set of predictors that pertain to personal demographics (age, gender, race, education, marital status, and household income), individual health (general health, presence of chronic conditions, weight perceptions, frequency of provider visits, and attitude towards exercise), and technology self-efficacy using logistic regression analysis.
Results: About 30% (1266/4551) of US adults use wearable health care devices. Among the users, nearly half (47.33%) use the devices every day, with a majority (82.38% weighted) willing to share the health data from wearables with their care providers. Women (16.25%), White individuals (19.74%), adults aged 18-50 years (19.52%), those with some level of college education or college graduates (25.60%), and those with annual household incomes greater than US $75,000 (17.66%) were most likely to report using wearable health care devices. We found that the use of wearables declines with age: Adults aged >50 years were less likely to use wearables compared to those aged 18-34 years (odds ratios [OR] 0.46-0.57). Women (OR 1.26, 95% CI 0.96-1.65), White individuals (OR 1.65, 95% CI 0.97-2.79), college graduates (OR 1.05, 95% CI 0.31-3.51), and those with annual household incomes greater than US $75,000 (OR 2.6, 95% CI 1.39-4.86) were more likely to use wearables. US adults who reported feeling healthier (OR 1.17, 95% CI 0.98-1.39), were overweight (OR 1.16, 95% CI 1.06-1.27), enjoyed exercise (OR 1.23, 95% CI 1.06-1.43), and reported higher levels of technology self-efficacy (OR 1.33, 95% CI 1.21-1.46) were more likely to adopt and use wearables for tracking or monitoring their health.
Conclusions: The potential of wearable health care devices is under-realized, with less than one-third of US adults actively using these devices. With only younger, healthier, wealthier, more educated, technoliterate adults using wearables, other groups have been left behind. More concentrated efforts by clinicians, device makers, and health care policy makers are needed to bridge this divide and improve the use of wearable devices among larger sections of American society.","","",""
"Wearable Technology in the Management of Chronic Diseases: A Growing Concern","https://scispace.com/paper/wearable-technology-in-the-management-of-chronic-diseases-a-oq0b7n9ia065","2024","Journal Article","Chronic Diseases and Translational Medicine","Victor Abiola Adepoju
Safayet Jamil
Mohammad Shahangir Biswas
ABM Alauddin Chowdhury","10.1002/cdt3.156","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a broad overview of wearables in chronic care without presenting a specific device study, adherence data, accuracy validation, or longitudinal outcome results.","Wearable technology in the management of chronic diseases has emerged as a significant and growing concern in healthcare. These technologies, including smartwatches, fitness trackers, and other sensor‐based devices, offer continuous monitoring and real‐time data collection for individuals with chronic conditions. The data collected can include vital signs, activity levels, sleep patterns, and more, providing valuable insights into a patient's health. This trend is particularly relevant in the context of chronic diseases, such as diabetes, cardiovascular conditions, and respiratory disorders, where continuous monitoring is crucial for effective management. Wearable devices empower patients to actively participate in their healthcare by facilitating self‐monitoring and promoting healthy behaviors. Healthcare providers can also leverage the data generated by these devices to make informed decisions, personalize treatment plans, and intervene proactively. However, challenges exist, such as data security and privacy concerns, the accuracy of the collected information, and the need for effective integration into existing healthcare systems. Despite these challenges, the increasing adoption of wearable technology in chronic disease management reflects a promising avenue for improving patient outcomes and reducing healthcare costs through preventive and personalized care.","","",""
"m-healthcare approaches for improving outpatient adherance in self-management of chronic diseases","https://scispace.com/paper/m-healthcare-approaches-for-improving-outpatient-adherance-4gqbmwt75f","2004","","","Mihail Cocosila
Norman P. Archer","","https://scispace.com/pdf/m-healthcare-approaches-for-improving-outpatient-adherance-4gqbmwt75f.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Discusses mobile/ wireless solutions for adherence but lacks a specific wearable device, quantitative adherence data, accuracy validation, or extended outcome results.","","","",""
"Self-Reported Acceptance of a Wearable Activity Monitor in Persons With Stroke: Usability Study.","https://scispace.com/paper/41435388","2025","Journal Article","JMIR cardio","Nam
Bellinger
Li
French
T Roemmich","10.2196/70007","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12726820/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on stroke rehabilitation acceptance of activity monitors; does not address chronic disease care, adherence metrics, sensor accuracy, or extended health outcomes.","Wearable activity monitors offer clinicians and researchers accessible, scalable, and cost-effective tools for continuous remote monitoring of functional status. These technologies can complement traditional clinical outcome measures by providing detailed, minute-by-minute, remotely collected data on a wide array of biometrics, including physical activity and heart rate. There is significant potential for the use of these devices in rehabilitation after stroke if individuals will wear and use the devices; however, the acceptance of these devices by persons with stroke is not well understood.","","",""
"Artificial Intelligence for Early Detection and Prediction of Chronic Obstructive Pulmonary Disease Exacerbations.","https://scispace.com/paper/41897259","2026","Journal Article","Healthcare (Basel, Switzerland)","Boyce
Prybutok","10.3390/healthcare14060806","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13026585/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on AI models for predicting COPD exacerbations; does not describe a wearable device, adherence metrics, sensor accuracy, or extended outcome studies.","Exacerbations of chronic obstructive pulmonary disease (COPD) are a leading cause of morbidity, mortality, and healthcare burden worldwide. Early detection and timely intervention remain important challenges in COPD management, given the unpredictable nature of acute deterioration and limitations of traditional spirometry-based risk assessment.","","",""
"Digital anti-aging healthcare: an overview of the applications of digital technologies in diet management","https://scispace.com/paper/digital-anti-aging-healthcare-an-overview-of-the-3847hah27y","2024","Journal Article","Journal of Personalized Medicine","Tagne Poupi Theodore Armand
Hee-Cheol Kim
Jung-In Kim","10.3390/jpm14030254","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on digital diet tools for healthy aging; does not evaluate wearables for chronic disease, adherence metrics, accuracy validation, or long‑term outcome data.","Diet management has long been an important practice in healthcare, enabling individuals to get an insight into their nutrient intake, prevent diseases, and stay healthy. Traditional methods based on self-reporting, food diaries, and periodic assessments have been used for a long time to control dietary habits. These methods have shown limitations in accuracy, compliance, and real-time analysis. The rapid advancement of digital technologies has revolutionized healthcare, including the diet control landscape, allowing for innovative solutions to control dietary patterns and generate accurate and personalized recommendations. This study examines the potential of digital technologies in diet management and their effectiveness in anti-aging healthcare. After underlining the importance of nutrition in the aging process, we explored the applications of mobile apps, web-based platforms, wearables devices, sensors, the Internet of Things, artificial intelligence, blockchain, and other technologies in managing dietary patterns and improving health outcomes. The research further examines the effects of digital dietary control on anti-aging healthcare, including improved nutritional monitoring, personalized recommendations, and behavioral and sustainable changes in habits, leading to an expansion of longevity and health span. The challenges and limitations of digital diet monitoring are discussed, and some future directions are provided. Although many digital tools are used in diet control, their accuracy, effectiveness, and impact on health outcomes are not discussed much. This review consolidates the existing literature on digital diet management using emerging digital technologies to analyze their practical implications, guiding researchers, healthcare professionals, and policy makers toward personalized dietary management and healthy aging. ","","",""
"Standardizing Patient Generated Sleep and Step Data for Evidation Health","https://scispace.com/paper/standardizing-patient-generated-sleep-and-step-data-for-3qiaxobo1h","2021","","","Jade DeSmet
Monroe Erle
Jamie Cullen","","https://scispace.com/pdf/standardizing-patient-generated-sleep-and-step-data-for-3qiaxobo1h.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on data standardization and integration of sleep/step wearables, without chronic disease context, adherence metrics, accuracy validation, or long‑term outcome analysis.","","","",""
"Big data and chronic disease management through patient monitoring and treatment with data analytics","https://scispace.com/paper/big-data-and-chronic-disease-management-through-patient-5gbkg3dvm2nx","2024","Journal Article","","M. A. Alam
Amir Sohel
M. M. Uddin
Amir Siddiki","10.69593/ajaimldsmis.v1i01.133","https://scispace.compdf/big-data-and-chronic-disease-management-through-patient-5gbkg3dvm2nx.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a broad overview of big‑data analytics and wearables in chronic care, but lacks a specific device focus, adherence data, accuracy validation, or longitudinal outcome results.","This systematic review investigates the role of predictive analytics in chronic disease management, focusing on its capacity to predict disease progression, reduce hospitalizations, and enhance patient outcomes. A total of 35 peer-reviewed articles were analyzed to evaluate how predictive models, utilizing data from electronic health records (EHRs), wearable devices, and real-time monitoring systems, are applied in managing chronic diseases such as diabetes and cardiovascular conditions. The findings indicate that predictive models have significantly improved early disease detection accuracy, with studies showing improved forecasting of heart failure exacerbations and notable reductions in hospital readmissions due to timely interventions. Additionally, many studies reported a reduction in healthcare utilization through predictive analytics-driven early interventions. However, challenges regarding data quality and model accuracy were frequently cited, particularly concerning data integration and harmonization across various healthcare systems. Ethical and privacy concerns, including data security and algorithmic bias, were also highlighted, underscoring the need to address these issues for responsible and equitable use of predictive analytics. This review affirms the growing impact of predictive analytics in chronic disease management, while calling for advancements in data management and ethical frameworks to maximize its potential. ","","",""
"The Pulse of Progress: Smart Wearables and the Evolution of Cardiovascular Monitoring Technologies","https://scispace.com/paper/the-pulse-of-progress-smart-wearables-and-the-evolution-of-1wjy0v4i1n","2024","Journal Article","Deleted Journal","Fatemeh Kazerani","10.55529/ijrise.44.30.36","https://scispace.compdf/the-pulse-of-progress-smart-wearables-and-the-evolution-of-1wjy0v4i1n.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a broad review of cardiovascular wearables without focusing on a specific chronic disease, lacking adherence data, accuracy validation, or long‑term outcome analysis.","This paper explores the transformative role of smart wearables in the evolution of cardiovascular monitoring technologies. With cardiovascular diseases (CVDs) as the leading cause of mortality globally, there's a critical need for continuous, real-time health monitoring outside traditional clinical settings. Smart wearables, ranging from fitness trackers to specialized health-monitoring devices, have emerged as pivotal tools in this regard. They offer personalized, preventive, and real-time management of health, leveraging advancements in technology to provide a continuous stream of health data previously inaccessible. This systematic review draws upon recent studies to examine the effectiveness of wearable technologies in detecting, predicting, and managing CVDs. ","","",""
"Automated classification of hand gestures using a wristband and machine learning for possible application in pill intake monitoring","https://scispace.com/paper/automated-classification-of-hand-gestures-using-a-wristband-1de8f05k","2022","Journal Article","Computer Methods and Programs in Biomedicine","Sara Moccia
Sarah Solbiati
Mahshad Khornegah
F Bossi
Enrico G. Caiani","10.1016/j.cmpb.2022.106753","https://scispace.com/pdf/automated-classification-of-hand-gestures-using-a-wristband-1de8f05k.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on wristband gesture detection for pill intake, without chronic disease context, adherence metrics, accuracy validation, or extended health outcome data.","","","",""
"Smart devices for older adults managing chronic disease: a scoping review","https://scispace.com/paper/smart-devices-for-older-adults-managing-chronic-disease-a-54gzoqc8k4","2017","Journal Article","Jmir mhealth and uhealth","Ben Kim
Joon Lee","10.2196/MHEALTH.7141","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a broad scoping review of smart‑device mHealth studies; lacks specific wearable device focus, adherence data, accuracy validation, or long‑term outcome analysis.","Background: The emergence of smartphones and tablets featuring vastly advancing functionalities (eg, sensors, computing power, interactivity) has transformed the way mHealth interventions support chronic disease management for older adults. Baby boomers have begun to widely adopt smart devices and have expressed their desire to incorporate technologies into their chronic care. Although smart devices are actively used in research, little is known about the extent, characteristics, and range of smart device-based interventions. Objective: We conducted a scoping review to (1) understand the nature, extent, and range of smart device-based research activities, (2) identify the limitations of the current research and knowledge gap, and (3) recommend future research directions. Methods: We used the Arksey and O’Malley framework to conduct a scoping review. We identified relevant studies from MEDLINE, Embase, CINAHL, and Web of Science databases using search terms related to mobile health, chronic disease, and older adults. Selected studies used smart devices, sampled older adults, and were published in 2010 or after. The exclusion criteria were sole reliance on text messaging (short message service, SMS) or interactive voice response, validation of an electronic version of a questionnaire, postoperative monitoring, and evaluation of usability. We reviewed references. We charted quantitative data and analyzed qualitative studies using thematic synthesis. To collate and summarize the data, we used the chronic care model. Results: A total of 51 articles met the eligibility criteria. Research activity increased steeply in 2014 (17/51, 33%) and preexperimental design predominated (16/50, 32%). Diabetes (16/46, 35%) and heart failure management (9/46, 20%) were most frequently studied. We identified diversity and heterogeneity in the collection of biometrics and patient-reported outcome measures within and between chronic diseases. Across studies, we found 8 self-management supporting strategies and 4 distinct communication channels for supporting the decision-making process. In particular, self-monitoring (38/40, 95%), automated feedback (15/40, 38%), and patient education (13/40, 38%) were commonly used as self-management support strategies. Of the 23 studies that implemented decision support strategies, clinical decision making was delegated to patients in 10 studies (43%). The impact on patient outcomes was consistent with studies that used cellular phones. Patients with heart failure and asthma reported improved quality of life. Qualitative analysis yielded 2 themes of facilitating technology adoption for older adults and 3 themes of barriers. Conclusions: Limitations of current research included a lack of gerontological focus, dominance of preexperimental design, narrow research scope, inadequate support for participants, and insufficient evidence for clinical outcome. Recommendations for future research include generating evidence for smart device-based programs, using patient-generated data for advanced data mining techniques, validating patient decision support systems, and expanding mHealth practice through innovative technologies. [JMIR Mhealth Uhealth 2017;5(5):e69]","","",""
"Unveiling the potential of large language models in transforming chronic disease management: A mixed-method systematic review (Preprint)","https://scispace.com/paper/unveiling-the-potential-of-large-language-models-in-5l3203oob4yw","2024","Journal Article","","Caixia Li
Yina Zhao
Yang Bai
Baoquan Zhao
Yetunde Oluwafunmilayo
Carmen W.H. Chan
Meifen Zhang
Xia Fu","10.2196/preprints.70535","https://scispace.compdf/unveiling-the-potential-of-large-language-models-in-5l3203oob4yw.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper reviews LLMs in chronic disease care; mentions wearables only as future integration, without empirical device data, adherence, accuracy, or outcome results.","<sec> <title>BACKGROUND</title> Accounting for nearly three-quarters of deaths worldwide, chronic diseases are a major global health burden. Large language models (LLMs) are advanced artificial intelligence systems, possessing transformative potential to optimise chronic disease management, yet robust evidence is lacking. </sec> <sec> <title>OBJECTIVE</title> To synthesise evidence on the feasibility, opportunities, and challenges of LLMs across the disease management spectrum–from prevention to screening, diagnosis, treatment, and long-term care. </sec> <sec> <title>METHODS</title> Following the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analysis) guidelines, eleven databases (Cochrane Central Register of Controlled Trials, CINAHL, Embase, IEEE Xplore, Medline via Ovid, ProQuest Health &amp; Medicine Collection, ScienceDirect, Scopus, Web of Science Core Collection, China National Knowledge Internet, and SinoMed) were searched on 17 April 2024. Intervention and simulation studies were included if they examined LLMs in managing chronic diseases. Narrative analysis with descriptive figures were utilised to synthesise study findings. Random-effects meta-analyses were conducted to assess pooled effect estimates for LLM feasibility in chronic disease management. </sec> <sec> <title>RESULTS</title> Twenty studies were eligible examining general-purpose (n = 17) and fine-tuned LLMs (n = 3) in managing chronic diseases, including cancer, cardiovascular diseases, and metabolic disorders. LLMs demonstrated feasibility across the chronic disease management spectrum by generating relevant, comprehensible, and accurate health recommendations (71%; 95% confidence interval [CI] = 0.59, 0.83; I2 = 88.32%) with fine-tuned LLMs having higher accurate rates compared to general-purpose LLMs (odds ratio = 2.89; 95% CI = 1.83, 4.58; I2 = 54.45%). LLMs facilitated equitable information access, increased patient awareness of ailments, preventive measures, and treatment options, and promoted self-management behaviours in lifestyle modification and symptom coping. Additionally, LLMs facilitated compassionate emotional support, social connections, and healthcare resource to improve health outcomes of chronic diseases. However, LLMs faced challenges in addressing privacy, language, and cultural issues, undertaking advanced tasks, including diagnostic, medication, and comorbidities management, and generating personalised regimens with real-time adjustments and multiple modalities. </sec> <sec> <title>CONCLUSIONS</title> LLMs demonstrated potential to transform chronic disease management at individual, social, and healthcare levels, yet their direct application in clinical settings is still in its infancy. A multifaced approach–incorporating robust data security, domain-specific model fine-tuning, multimodal data integration, and wearables–is crucial to evolve LLMs into invaluable adjuncts for healthcare professionals to transform chronic disease management. </sec> <sec> <title>CLINICALTRIAL</title> PROSPERO (CRD42024545412). </sec> ","","",""
"Empowering Sensors and Wearable Technologies in Fostering Digital Healthcare Management","https://scispace.com/paper/empowering-sensors-and-wearable-technologies-in-fostering-4u7jbkn1pl7w","2025","Journal Article","Advances in healthcare information systems and administration book series","Saurabh Chandra
Bhupinder Singh","10.4018/979-8-3693-9092-4.ch005","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a high‑level overview of wearables in digital health without focusing on a specific chronic‑disease device, adherence data, accuracy validation, or longitudinal outcome results.","Sensors and wearables are making digital healthcare management a reality by allowing for round the clock health monitoring and individualized care. These gadgets are capable of monitoring the data on vital signs, activities of health and mind as well thereby making us proactive towards healthcare. New technologies facilitate remote diagnostics and treatments through smart implants or AI-driven wearables, leading to better patient outcomes with fewer hospital visits. Increasing amounts of patient engagement thanks to wearable technologies allow individuals greater control over their health and give healthcare providers access more accurate, real-time information for better decision-making. In addition, these advancements enable remote patient monitoring on a larger scale for chronic disease management and provide care to rural or underserved populations. The deployment of these technologies mark a pivot to proactive, patient-specific care and improve health outcomes more broadly at scale. ","","",""
"Artificial intelligence and big data applications in chronic disease management: clinical outcomes, challenges, and future directions.","https://scispace.com/paper/42047049","2026","Journal Article","Medicinski glasnik : official publication of the Medical Association of Zenica-Doboj Canton, Bosnia and Herzegovina","Abu-Qbeitah
Ahmad","10.17392/2061-23-01","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Review discusses AI and big‑data strategies broadly; no specific wearable device, adherence data, accuracy tests, or longitudinal outcome results are presented.","To synthesize applications of Artificial Intelligence (AI) and big data in chronic disease management, evaluate clinical and economic outcomes, challenges, and future directions.","","",""
"Effectiveness of telemedicine-based rehabilitation after stroke: a systematic review.","https://scispace.com/paper/42171799","2026","Journal Article","Journal of neurology","BaniHani
Esmail
Ibrahim
Ghozy
Keser
Esterov
Kadirvel
Nasr","10.1007/s00415-026-13871-5","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on telemedicine stroke rehab; no wearable device, adherence, accuracy, or long‑term chronic disease outcomes discussed.","Access to timely post-acute stroke rehabilitation remains inconsistent, contributing to persistent disability despite advances in acute stroke care. Telemedicine has been proposed as a strategy to improve continuity and access to rehabilitation services, but its effectiveness across functional domains remains incompletely defined.","","",""
"Precision Nutrition: Leveraging Machine Learning for Personalized Dietary Recommendations and Health Outcomes","https://scispace.com/paper/precision-nutrition-leveraging-machine-learning-for-3l2mbtgrzhz6","2024","Journal Article","International Journal of scientific research and management","Pakapon Rojanaphan","10.18535/ijsrm/v12i11.ec08","https://www.researchgate.net/profile/Pakapon-Rojanaphan/publication/386074213_Precision_Nutrition_Leveraging_Machine_Learning_for_Personalized_Dietary_Recommendations_and_Health_Outcomes/links/6744565c7ca4cb2842abe3e4/Precision-Nutrition-Leveraging-Machine-Learning-for-Personalized-Dietary-Recommendations-and-Health-Outcomes.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on machine‑learning models for personalized nutrition, without discussing wearables, adherence metrics, sensor accuracy, or longitudinal disease outcomes.","Predictive nutrition is a relatively young science that aims at guiding the consumers to adhere to those diets that would match their specific genotype, gender, behavior patterns, and health conditions. a subfield of AI known as machine learning (ML) has revolutionized practice in this realm due to providing approaches for considering massive amounts of data and using data-driven interventions for individual health enhancement. Precision nutrition is discussed in this paper to include the possibility of using ML techniques in the process in order to enhance health outcomes of patients. Through incorporation of various datasets such as genetic profile, biomarkers data and food consumption data, it is possible for ML models to predict and develop diets forecast with greater precision than in the past. Ethical issues, variability, and algorithm bias are also discussed with recommendations on ways to make the model more reliable and usable for all stakeholders. This work establishes the potential of ML in improving precision nutrition and specifies the need for interdisciplinarity to advance innovative, human-focused digital dietary solutions. ","","",""
"Leveraging ICT Tools to Improve Kidney Health: A Comprehensive Review of Innovations in Nephrology.","https://scispace.com/paper/41897238","2026","Journal Article","Healthcare (Basel, Switzerland)","Mata-Lima
Serrano-Olmedo
Paquete","10.3390/healthcare14060785","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13026592/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Review covers broad ICT innovations in nephrology; no specific wearable device study, adherence data, accuracy tests, or long‑term outcome analysis.","","","",""
"E-QALY: face validity testing the items for a new generic preference-based measure","https://scispace.com/paper/e-qaly-face-validity-testing-the-items-for-a-new-generic-56ogrbzdev","2020","Journal Article","Quality of Life Research","Jill Carlton
Janice Connell
Tessa Peasgood
Clara Mukuria
Kristina Ludwig
Ole Marten
Simone Kreimeier
Lidia Engel
Z Yang
M Belizan
R Rodriguez
Andrea L. Monteiro
M. Kuharic
Brendan Mulhern
Alan S. Pickard
N Luo
F Augustovski
Wolfgang Greiner","10.1007/S11136-020-02626-Y","https://scispace.com/pdf/e-qaly-face-validity-testing-the-items-for-a-new-generic-56ogrbzdev.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on face‑validity of a preference measure and a review of wearables in oncology, lacking chronic disease focus, adherence data, accuracy tests, or long‑term outcome analysis.","","","",""
"Defining a Structure and Methodology for the Practice of Lifestyle Medicine","https://scispace.com/paper/defining-a-structure-and-methodology-for-the-practice-of-l86keewsro","2018","Journal Article","American Journal of Lifestyle Medicine","Garry Egger","10.1177/1559827616669327","https://scispace.com/pdf/defining-a-structure-and-methodology-for-the-practice-of-l86keewsro.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Discusses mHealth concepts and digital tools broadly, but lacks a specific wearable focus, adherence data, accuracy validation, or extended outcome analysis.","Lifestyle medicine (LM) is a relatively new branch of clinical practice (like travel medicine, sports medicine, etc), but to date with little accepted structure or methodology. The current review extends a previous attempt to define the determinants of chronic disease by expanding this to include (1) the knowledge base (the science) or epidemiology of chronic disease, (2) the skills (the art) or practice of LM, (3) the tools (the materials) that can add to LM diagnoses and prescription, and (4) the procedures (the actions) that help update conventional medicine to include practices required for a new era of lifestyle and environmentally related chronic disease.","","",""
"AI-Guided Remission: Protocol for a Conversational Agent (Chatbot) for Dosing Activity and Footwear Progression After Diabetic Limb Reconstruction.","https://scispace.com/paper/42076408","2026","Journal Article","Sensors (Basel, Switzerland)","Feraru
Klonoff
Najafi
Antoszewska
Armstrong","10.3390/s26082299","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13120288/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on a chatbot protocol for activity and footwear guidance post‑surgery; no wearable sensor, adherence metrics, accuracy validation, or long‑term outcome data are presented.","Diabetic foot ulcers recur frequently after healing. The first three months carry the highest risk. Remission is a vulnerable phase that demands precise self-care and timely feedback. Evidence supports thermometry and protective footwear with gradual return to activity, yet adherence at home is inconsistent.","","",""
"Editorial: ""Longer term monitoring through wearables brings with it the promise of predicting the onset of disease - moving from managing illness to maintaining wellness."".","https://scispace.com/paper/editorial-longer-term-monitoring-through-wearables-brings-1z8lzrm1fp","2015","Journal Article","Healthcare technology letters","Christopher J. James","10.1049/HTL.2015.0004","https://scispace.com/pdf/editorial-longer-term-monitoring-through-wearables-brings-1z8lzrm1fp.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Editorial surveys wearable tech broadly; lacks specific chronic disease device, adherence data, accuracy validation, or longitudinal outcome results.","","","",""
"Wearable Health Devices in Health Care: Narrative Systematic Review","https://scispace.com/paper/wearable-health-devices-in-health-care-narrative-systematic-2f964x4hzh","2020","Journal Article","Jmir mhealth and uhealth","Lin Lu
Jiayao Zhang
Yi Xie
Gao Fei
Song Xu
Xinghuo Wu
Zhewei Ye","10.2196/18907","https://scispace.com/pdf/wearable-health-devices-in-health-care-narrative-systematic-2f964x4hzh.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a broad review of wearable health devices without focusing on chronic disease use, adherence metrics, accuracy validation, or long‑term outcome data.","Background: With the rise of mobile medicine, the development of new technologies such as smart sensing, and the popularization of personalized health concepts, the field of smart wearable devices has developed rapidly in recent years. Among them, medical wearable devices have become one of the most promising fields. These intelligent devices not only assist people in pursuing a healthier lifestyle but also provide a constant stream of health care data for disease diagnosis and treatment by actively recording physiological parameters and tracking metabolic status. Therefore, wearable medical devices have the potential to become a mainstay of the future mobile medical market.
Objective: Although previous reviews have discussed consumer trends in wearable electronics and the application of wearable technology in recreational and sporting activities, data on broad clinical usefulness are lacking. We aimed to review the current application of wearable devices in health care while highlighting shortcomings for further research. In addition to daily health and safety monitoring, the focus of our work was mainly on the use of wearable devices in clinical practice.
Methods: We conducted a narrative review of the use of wearable devices in health care settings by searching papers in PubMed, EMBASE, Scopus, and the Cochrane Library published since October 2015. Potentially relevant papers were then compared to determine their relevance and reviewed independently for inclusion.
Results: A total of 82 relevant papers drawn from 960 papers on the subject of wearable devices in health care settings were qualitatively analyzed, and the information was synthesized. Our review shows that the wearable medical devices developed so far have been designed for use on all parts of the human body, including the head, limbs, and torso. These devices can be classified into 4 application areas: (1) health and safety monitoring, (2) chronic disease management, (3) disease diagnosis and treatment, and (4) rehabilitation. However, the wearable medical device industry currently faces several important limitations that prevent further use of wearable technology in medical practice, such as difficulties in achieving user-friendly solutions, security and privacy concerns, the lack of industry standards, and various technical bottlenecks.
Conclusions: We predict that with the development of science and technology and the popularization of personalized health concepts, wearable devices will play a greater role in the field of health care and become better integrated into people’s daily lives. However, more research is needed to explore further applications of wearable devices in the medical field. We hope that this review can provide a useful reference for the development of wearable medical devices.","","",""
